205,CHAIR,0.45
206,BED,0.45
207,COUCH,0.45
208,SINK,0.45
209,TOILET,0.45
210,TRASH BIN,0.45
211,COFFEE TABLE,0.45
212,BOOKSHELF,0.45
213,FAMILY PICTURES,0.45
214,MICROWAVE,0.45
215,CLOSET,0.45
216,DRESSER,0.45
217,HOUSE PLANT,0.45
218,RUG,0.45
219,BOWL,0.45
220,PLATE,0.45
221,FORK,0.45
222,SPOON,0.45
223,KNIFE,0.45
224,BUCKET,0.45
225,TOASTER,0.25
226,TOOTHBRUSH,0.25
227,REFRIDGERATOR,0.25
228,SINK,0.25
229,STOVE,0.25
230,WINE GLASS,0.25
231,FRUIT BOWL,0.25
232,TELEVISION,0.25
233,POT,0.25
234,PAN,0.25
235,DISH SOAP,0.25
236,TOILET PAPER,0.25
237,CANDLE,0.25
238,SPONGE,0.25
239,COASTER,0.25
240,COMPUTER,0.15
241,LAMP,0.15
242,WASHER,0.15
243,DRYER,0.15
244,PILLOW,0.15
245,BLANKET,0.15
246,MUG,0.15
247,LADDER,0.15
248,COOKIE JAR,0.15
249,REMOTE,0.15
250,RAZORBLADE,0.1
251,KEYS,0.1
252,SHOES,0.1
253,WALLET,0.1
254,WRENCH,0.1
255,PLUNGER,0.01
